Date,Wind Speed,group1_windpower(kWh),group2_windpower(kWh),group3_windpower(kWh)
31-Jul,6.3,65883,78495,108550
1-Aug,6.95,69918,29293,124085
2-Aug,6.64,64129,78649,132716
3-Aug,7.64,89025,114596,197026
4-Aug,7.93,95473,123798,197014
5-Aug,7.28,86238,103848,176553
6-Aug,6.31,66623,78646,132078
7-Aug,6.35,67815,83203,118444
8-Aug,4.58,22381,35570,56009
9-Aug,6.83,67222,88141,151305
10-Aug,5.87,54635,63072,86449
11-Aug,4.7,38919,44930,57846
12-Aug,3.93,17630,29017,40326
13-Aug,6.47,55352,73083,124245
14-Aug,5.24,44737,55018,82054
15-Aug,4.72,37969,51221,58449
16-Aug,3.06,15461,20776,23747
17-Aug,7.31,82099,101460,180165
18-Aug,6.58,83458,70636,107444
19-Aug,4.15,21068,35058,58582
20-Aug,4.99,29029,44512,78539
21-Aug,5.35,44860,63970,72645
22-Aug,3.64,19407,30071,38629
23-Aug,5.59,34482,49940,101971
24-Aug,4.17,23536,3822,50966
25-Aug,4.74,71246,11889,48756
26-Aug,4.39,46614,5634,39263
27-Aug,4.95,36095,117992,50295
28-Aug,5.79,87204,89234,76710
29-Aug,6.61,87918,89659,77582
30-Aug,6.33,75594,85469,79508
31-Aug,6.09,69868,82852,81594
1-Sep,5.2,61394,70939,74514
2-Sep,5.96,84629,96824,103221
3-Sep,7.86,113850,132071,140851
4-Sep,8.81,148623,158326,173673
5-Sep,7.71,119784,133630,136488
6-Sep,7.45,101450,120775,115378
7-Sep,7.04,85970,101588,106246
8-Sep,6.37,81205,94899,93228
9-Sep,9.37,155357,170998,145967
10-Sep,10.17,183035,186170,254121
11-Sep,11.18,179726,181092,228271
12-Sep,11.55,213685,215761,247852
13-Sep,8.03,108471,124975,142035
14-Sep,7.63,104114,121798,114923
15-Sep,7.82,100870,121249,152790
16-Sep,9.58,160665,168786,194182
17-Sep,10.01,185720,185471,198692
18-Sep,11.1,213706,209721,221758
19-Sep,8.51,137519,146179,145320
20-Sep,8.56,140738,146398,151363
